TMDb_ID,name
5064,Meryl Streep
31,Tom Hanks
514,Jack Nicholson
6598,Katharine Hepburn
11856,Daniel Day-Lewis
3910,Frances McDormand
380,Robert De Niro
112,Cate Blanchett
1158,Al Pacino
4111,Ingrid Bergman
4483,Dustin Hoffman
1038,Jodie Foster
4173,Anthony Hopkins
3635,Elizabeth Taylor
192,Morgan Freeman
10978,Maggie Smith
6193,Leonardo DiCaprio
15735,Helen Mirren
5292,Denzel Washington
1204,Julia Roberts
3084,Marlon Brando
1932,Audrey Hepburn
738,Sean Connery
4110,Humphrey Bogart
3380,Bette Davis
854,James Stewart
5823,Julie Andrews
8487,Gregory Peck
16757,Sophia Loren
3636,Paul Newman
2638,Cary Grant
10538,Vivien Leigh
11492,Clark Gable
4090,Shirley MacLaine
16897,Sidney Poitier
6352,Jane Fonda
10400,Barbra Streisand
3895,Michael Caine
3092,Diane Keaton
193,Gene Hackman
4038,Susan Sarandon
4135,Robert Redford
7056,Emma Thompson
5309,Judi Dench
19492,Viola Davis
2227,Nicole Kidman
1979,Kevin Spacey
6885,Charlize Theron
2157,Robin Williams
204,Kate Winslet
500,Tom Cruise
1231,Julianne Moore
287,Brad Pitt
85,Johnny Depp
11701,Angelina Jolie
1461,George Clooney
524,Natalie Portman
1892,Matt Damon
18277,Sandra Bullock
2888,Will Smith
4587,Halle Berry
934,Russell Crowe
8293,Marion Cotillard
3894,Christian Bale
448,Hilary Swank
206,Jim Carrey
955,Penélope Cruz
73421,Joaquin Phoenix
12052,Gwyneth Paltrow
1233,Philip Seymour Hoffman
368,Reese Witherspoon
819,Edward Norton
1137,Juliette Binoche
2282,Ben Kingsley
18686,Holly Hunter
118,Geoffrey Rush
8534,Kathy Bates
1229,Jeff Bridges
4431,Jessica Lange
3087,Robert Duvall
35,Sally Field
2176,Tommy Lee Jones
3810,Javier Bardem
4690,Christopher Walken
9560,Ellen Burstyn
64,Gary Oldman
5606,Sissy Spacek
1327,Ian McKellen
6450,Faye Dunaway
2178,Forest Whitaker
515,Glenn Close
290,Christopher Plummer
5401,Anthony Quinn
2882,Diane Lane
13294,Gene Kelly
516,Annette Bening
8891,John Travolta
1160,Michelle Pfeiffer
1269,Kevin Costner
1283,Helena Bonham Carter
5293,Willem Dafoe
4784,Laura Dern
1532,Bill Murray
10205,Sigourney Weaver
2231,Samuel L. Jackson
3063,Tilda Swinton
3,Harrison Ford
9137,Renée Zellweger
5472,Colin Firth
9066,Judy Garland
2228,Sean Penn
3359,Laurence Olivier
1922,Catherine Zeta-Jones
5469,Ralph Fiennes
2395,Whoopi Goldberg
1205,Richard Gere
83002,Jessica Chastain
8349,Martin Sheen
116,Keira Knightley
12248,Alec Guinness
1920,Winona Ryder
5344,Meg Ryan
1121,Benicio del Toro
5081,Emily Blunt
6949,John Malkovich
504,Tim Robbins
72129,Jennifer Lawrence
7447,Alec Baldwin
11661,Kate Hudson
2232,Michael Douglas
3293,Rachel Weisz
11181,Kenneth Branagh
350,Laura Linney
1245,Scarlett Johansson
3896,Liam Neeson
3489,Naomi Watts
33,Gary Sinise
36592,Saoirse Ronan
1230,John Goodman
4687,Patricia Arquette
884,Steve Buscemi
6944,Octavia Spencer
8447,Jeff Daniels
9273,Amy Adams
1896,Don Cheadle
3141,Marisa Tomei
228,Ed Harris
60073,Brie Larson
7399,Ben Stiller
6161,Jennifer Connelly
103,Mark Ruffalo
19549,Greta Garbo
6968,Hugh Jackman
2405,Audrey Tautou
190,Clint Eastwood
54693,Emma Stone
57755,Woody Harrelson
19,Allison Janney
3223,Robert Downey Jr.
9824,Diane Kruger
2524,Tom Hardy
3051,Toni Collette
4764,John C. Reilly
110,Viggo Mortensen
108916,Rooney Mara
4566,Alan Rickman
1267329,Lupita Nyong'o
13242,Paul Giamatti
36662,Carey Mulligan
5294,Chiwetel Ejiofor
1893,Casey Affleck
550843,Elizabeth Olsen
17288,Michael Fassbender
234352,Margot Robbie
30614,Ryan Gosling
932967,Mahershala Ali
27319,Christoph Waltz
172069,Chadwick Boseman
39187,Olivia Colman
1190668,Timothée Chalamet
71580,Benedict Cumberbatch
1023139,Adam Driver
17838,Rami Malek
37917,Kristen Stewart
55536,Melissa McCarthy
206919,Daniel Kaluuya
37632,Eddie Redmayne
131,Jake Gyllenhaal
90633,Gal Gadot
17605,Idris Elba
74568,Chris Hemsworth
1813,Anne Hathaway
16828,Chris Evans
8691,Zoe Saldana
4724,Kevin Bacon
