TMDb_ID,title,year
496243,Parasite,2019
581734,Nomadland,2020
776503,CODA,2021
545611,Everything Everywhere All at Once,2022
399055,The Shape of Water,2017
376867,Moonlight,2016
314365,Spotlight,2015
194662,Birdman,2014
76203,12 Years a Slave,2013
68734,Argo,2012
74643,The Artist,2011
45269,The King's Speech,2010
12162,The Hurt Locker,2008
12405,Slumdog Millionaire,2008
6977,No Country for Old Men,2007
1422,The Departed,2006
884,Crash,1996
70,Million Dollar Baby,2004
122,The Lord of the Rings: The Return of the King,2003
453,A Beautiful Mind,2001
98,Gladiator,2000
14,American Beauty,1999
1934,Shakespeare in Love,1998
597,Titanic,1997
409,The English Patient,1996
197,Braveheart,1995
13,Forrest Gump,1994
424,Schindler's List,1993
33,Unforgiven,1992
274,The Silence of the Lambs,1991
581,Dances with Wolves,1990
403,Driving Miss Daisy,1989
380,Rain Man,1988
746,The Last Emperor,1987
792,Platoon,1986
606,Out of Africa,1985
279,Amadeus,1984
11050,Terms of Endearment,1983
783,Gandhi,1982
9443,Chariots of Fire,1981
16619,Ordinary People,1980
242,The Godfather Part III,1990
769,Goodfellas,1990
680,Pulp Fiction,1994
278,The Shawshank Redemption,1994
857,Saving Private Ryan,1998
637,Life is Beautiful,1997
423,The Pianist,2002
153,Lost in Translation,2003
38,Eternal Sunshine of the Spotless Mind,2004
629,The Usual Suspects,1995
2118,L.A. Confidential,1997
489,Good Will Hunting,1997
603,The Matrix,1999
77,Memento,2000
129,Spirited Away,2001
120,The Lord of the Rings: The Fellowship of the Ring,2001
121,The Lord of the Rings: The Two Towers,2002
745,The Sixth Sense,1999
550,Fight Club,1999
497,The Green Mile,1999
862,Toy Story,1995
329,Jurassic Park,1993
8587,The Lion King,1994
808,Shrek,2001
12,Finding Nemo,2003
9806,The Incredibles,2004
14160,Up,2009
10193,Toy Story 3,2010
1022789,Inside Out,2024
354912,Coco,2017
324857,Spider-Man: Into the Spider-Verse,2018
155,The Dark Knight,2008
27205,Inception,2010
157336,Interstellar,2014
120467,The Grand Budapest Hotel,2014
244786,Whiplash,2014
313369,La La Land,2016
359940,"""Three Billboards Outside Ebbing, Missouri""",2017
37799,The Social Network,2010
106646,The Wolf of Wall Street,2013
152601,Her,2013
68718,Django Unchained,2012
97630,Zero Dark Thirty,2012
8967,The Tree of Life,2011
44214,Black Swan,2010
12163,The Wrestler,2008
7345,There Will Be Blood,2007
1417,Pan's Labyrinth,2006
1251,Letters from Iwo Jima,2006
773,Little Miss Sunshine,2006
1164,Babel,2006
398,Capote,2005
142,Brokeback Mountain,2005
9675,Sideways,2004
2567,The Aviator,2004
866,Finding Neverland,2004
322,Mystic River,2003
590,The Hours,2002
3131,Gangs of New York,2002
2757,Adaptation,2002
64,Talk to Her,2002
180,Minority Report,2002
824,Moulin Rouge!,2001
5279,Gosford Park,2001
1999,In the Bedroom,2001
1018,Mulholland Drive,2001
194,Amélie,2001
1900,Traffic,2000
462,Erin Brockovich,2000
392,Chocolat,2000
134,"""O Brother, Where Art Thou?""",2000
1715,The Cider House Rules,1999
9008,The Insider,1999
492,Being John Malkovich,1999
334,Magnolia,1999
637,Life Is Beautiful,1997
8741,The Thin Red Line,1998
4518,Elizabeth,1998
2898,As Good as It Gets,1997
9427,The Full Monty,1997
11159,Secrets & Lies,1996
7863,Shine,1996
9390,Jerry Maguire,1996
568,Apollo 13,1995
9598,Babe,1995
4584,Sense and Sensibility,1995
11450,Quiz Show,1994
712,Four Weddings and a Funeral,1994
713,The Piano,1993
1245,The Remains of the Day,1993
7984,In the Name of the Father,1993
5503,The Fugitive,1993
11386,The Crying Game,1992
8293,Howards End,1992
881,A Few Good Men,1992
9475,Scent of a Woman,1992
321612,Beauty and the Beast,2017
820,JFK,1991
10337,Bugsy,1991
10333,The Prince of Tides,1991
11005,Awakenings,1990
251,Ghost,1990
2604,Born on the Fourth of July,1989
207,Dead Poets Society,1989
2323,Field of Dreams,1989
10161,My Left Foot,1989
859,Dangerous Liaisons,1988
3525,Working Girl,1988
31052,The Accidental Tourist,1988
32054,Hope and Glory,1987
2039,Moonstruck,1987
12626,Broadcast News,1987
10998,Fatal Attraction,1987
5143,Hannah and Her Sisters,1986
11416,The Mission,1986
11257,A Room with a View,1985
1890,Children of a Lesser God,1986
873,The Color Purple,1985
1214684,Kiss of the Spider Woman,
2075,Prizzi's Honor,1985
625,The Killing Fields,1984
15927,A Passage to India,1984
13681,Places in the Heart,1984
26522,A Soldier's Story,1984
12560,The Big Chill,1983
42122,The Dresser,1983
9549,The Right Stuff,1983
42121,Tender Mercies,1983
601,E.T. the Extra-Terrestrial,1982
768362,Missing,2023
9576,Tootsie,1982
2623,An Officer and a Gentleman,1982
